,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
170,19.0121742,-98.2297258,2,1.0,6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,8.0,no,no,yes
171,19.0424503,-98.2019508,0,1.0,1,2.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,20.0,no,no,yes
172,19.0427317,-98.2016699,0,0.0,1,2.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,20.0,yes,yes,no
173,19.0426751556,-98.2017253469,1,0.0,9,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,no,no,no
174,19.0431784291,-98.2014118247,1,0.0,2,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,no,no,no
175,19.0430496,-98.2013908,1,1.0,9,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,yes,no,yes
176,19.0435767,-98.2011271,4,2.0,0,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,yes,no,yes
177,19.0435877761,-98.2011279886,2,3.0,8,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,no,yes,yes
178,19.0441616051,-98.2007679793,0,0.0,5,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,yes,no,no
179,19.0441521,-98.2008391,5,0.0,1,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,yes,yes,no
180,19.0441313,-98.2009338,8,4.0,1,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,no,yes,yes
181,19.0404378467,-98.1950839683,0,0.0,4,3.0,2.0,7.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,20.0,yes,no,no
182,19.0404313774,-98.1951555677,0,0.0,5,5.0,5.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,20.0,yes,yes,no
183,19.0028015464,-98.2708312304,1,5.0,10,1.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,20.0,no,yes,yes
184,19.0023319284,-98.2706085966,2,0.0,1,4.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,no,no,no
185,19.0471274,-98.1985066,3,0.0,5,1.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,yes,yes,no
186,19.0470325,-98.1985307,0,0.0,2,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,no,no,no
187,19.0469853,-98.1988337,2,0.0,5,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,no,yes,no
188,19.0467995,-98.1976969,0,0.0,3,1.0,1.0,12.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,no,no,no
189,19.0466223,-98.197401,6,1.0,8,6.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,100.0,no,yes,yes
190,19.0461769,-98.1978311,0,0.0,7,2.0,2.0,3.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,0.0,no,no,no
191,19.0450819,-98.1951568,1,0.0,5,2.0,2.0,10.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,0.0,yes,yes,yes
192,19.0190596359,-98.2616267691,0,0.0,3,2.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,2.0,0.0,no,no,no
193,19.0221965558,-98.2609179714,0,0.0,8,3.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,0.0,no,no,no
194,19.022357996,-98.2611790224,1,1.0,0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,7.0,4.0,2.0,20.0,no,no,no
195,19.0223481601,-98.2611514298,4,2.0,0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,7.0,4.0,2.0,20.0,no,yes,yes
196,19.0221858871,-98.2608469657,0,0.0,3,3.0,2.0,2.0,2.0,1.0,1.0,3.0,7.0,4.0,2.0,20.0,no,no,no
197,19.0463846914,-98.2025966177,3,7.0,150,0.0,0.0,3.0,2.0,1.0,1.0,3.0,7.0,4.0,2.0,20.0,no,no,yes
198,19.0195186834,-98.2613671027,0,0.0,3,1.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,4.0,2.0,0.0,no,yes,no
199,19.019030961,-98.2617494518,12,2.0,0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,yes,no,no
200,19.0193617107,-98.2614588435,0,1.0,0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,yes,no,no
201,19.0194068872,-98.2613777385,3,5.0,7,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,no,yes,yes
202,19.0221703287,-98.2607611412,0,0.0,3,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,no,no,no
